 frequency       v(/u_vc)        v(/u_vc)        v(/u_d)         v(/u_d)        
 7.76247117e+01  7.43039850e-02 -3.12531180e-01  7.43039877e-02 -3.12531206e-01 
 7.85235635e+01  7.03393408e-02 -3.04537216e-01  7.03393435e-02 -3.04537242e-01 
 7.94328235e+01  6.66623106e-02 -2.96883554e-01  6.66623132e-02 -2.96883581e-01 
 8.03526122e+01  6.32463096e-02 -2.89550189e-01  6.32463121e-02 -2.89550216e-01 
 8.12830516e+01  6.00677016e-02 -2.82518460e-01  6.00677041e-02 -2.82518488e-01 
 8.22242650e+01  5.71054230e-02 -2.75770973e-01  5.71054253e-02 -2.75771001e-01 
 8.31763771e+01  5.43406592e-02 -2.69291514e-01  5.43406615e-02 -2.69291542e-01 
 8.41395142e+01  5.17565681e-02 -2.63064971e-01  5.17565704e-02 -2.63064999e-01 
 8.51138038e+01  4.93380403e-02 -2.57077256e-01  4.93380425e-02 -2.57077283e-01 
 8.60993752e+01  4.70714930e-02 -2.51315232e-01  4.70714952e-02 -2.51315260e-01 
 8.70963590e+01  4.49446912e-02 -2.45766648e-01  4.49446933e-02 -2.45766676e-01 
 8.81048873e+01  4.29465924e-02 -2.40420066e-01  4.29465944e-02 -2.40420095e-01 
 8.91250938e+01  4.10672115e-02 -2.35264810e-01  4.10672135e-02 -2.35264838e-01 
 9.01571138e+01  3.92975032e-02 -2.30290903e-01  3.92975051e-02 -2.30290931e-01 
 9.12010839e+01  3.76292589e-02 -2.25489018e-01  3.76292609e-02 -2.25489048e-01 
 9.22571427e+01  3.60550168e-02 -2.20850433e-01  3.60550187e-02 -2.20850462e-01 
 9.33254301e+01  3.45679822e-02 -2.16366980e-01  3.45679841e-02 -2.16367009e-01 
 9.44060876e+01  3.31619583e-02 -2.12031009e-01  3.31619601e-02 -2.12031038e-01 
 9.54992586e+01  3.18312846e-02 -2.07835348e-01  3.18312864e-02 -2.07835378e-01 
 9.66050879e+01  3.05707826e-02 -2.03773272e-01  3.05707844e-02 -2.03773302e-01 
 9.77237221e+01  2.93757079e-02 -1.99838464e-01  2.93757097e-02 -1.99838494e-01 
 9.88553095e+01  2.82417077e-02 -1.96024992e-01  2.82417094e-02 -1.96025023e-01 
 1.00000000e+02  2.71647825e-02 -1.92327280e-01  2.71647842e-02 -1.92327311e-01 
 1.01157945e+02  2.61412532e-02 -1.88740080e-01  2.61412549e-02 -1.88740112e-01 
 1.02329299e+02  2.51677303e-02 -1.85258453e-01  2.51677319e-02 -1.85258485e-01 
 1.03514217e+02  2.42410875e-02 -1.81877746e-01  2.42410892e-02 -1.81877778e-01 
 1.04712855e+02  2.33584379e-02 -1.78593570e-01  2.33584395e-02 -1.78593603e-01 
 1.05925373e+02  2.25171121e-02 -1.75401788e-01  2.25171136e-02 -1.75401821e-01 
 1.07151931e+02  2.17146389e-02 -1.72298491e-01  2.17146404e-02 -1.72298524e-01 
 1.08392691e+02  2.09487284e-02 -1.69279988e-01  2.09487300e-02 -1.69280021e-01 
 1.09647820e+02  2.02172561e-02 -1.66342789e-01  2.02172577e-02 -1.66342823e-01 
 1.10917482e+02  1.95182489e-02 -1.63483593e-01  1.95182504e-02 -1.63483627e-01 
 1.12201845e+02  1.88498721e-02 -1.60699275e-01  1.88498736e-02 -1.60699309e-01 
 1.13501082e+02  1.82104185e-02 -1.57986874e-01  1.82104200e-02 -1.57986909e-01 
 1.14815362e+02  1.75982977e-02 -1.55343586e-01  1.75982991e-02 -1.55343621e-01 
 1.16144861e+02  1.70120263e-02 -1.52766750e-01  1.70120278e-02 -1.52766786e-01 
 1.17489755e+02  1.64502203e-02 -1.50253842e-01  1.64502217e-02 -1.50253877e-01 
 1.18850223e+02  1.59115861e-02 -1.47802463e-01  1.59115875e-02 -1.47802499e-01 
 1.20226443e+02  1.53949146e-02 -1.45410336e-01  1.53949160e-02 -1.45410373e-01 
 1.21618600e+02  1.48990741e-02 -1.43075297e-01  1.48990755e-02 -1.43075333e-01 
 1.23026877e+02  1.44230044e-02 -1.40795284e-01  1.44230057e-02 -1.40795321e-01 
 1.24451461e+02  1.39657117e-02 -1.38568340e-01  1.39657130e-02 -1.38568377e-01 
 1.25892541e+02  1.35262636e-02 -1.36392596e-01  1.35262649e-02 -1.36392633e-01 
 1.27350308e+02  1.31037846e-02 -1.34266274e-01  1.31037860e-02 -1.34266313e-01 
 1.28824955e+02  1.26974521e-02 -1.32187680e-01  1.26974534e-02 -1.32187719e-01 
 1.30316678e+02  1.23064924e-02 -1.30155197e-01  1.23064937e-02 -1.30155236e-01 
 1.31825674e+02  1.19301772e-02 -1.28167281e-01  1.19301785e-02 -1.28167321e-01 
 1.33352143e+02  1.15678210e-02 -1.26222461e-01  1.15678223e-02 -1.26222500e-01 
 1.34896288e+02  1.12187775e-02 -1.24319328e-01  1.12187788e-02 -1.24319368e-01 
 1.36458314e+02  1.08824371e-02 -1.22456537e-01  1.08824383e-02 -1.22456578e-01 
 1.38038426e+02  1.05582246e-02 -1.20632805e-01  1.05582259e-02 -1.20632846e-01 
 1.39636836e+02  1.02455968e-02 -1.18846899e-01  1.02455981e-02 -1.18846941e-01 
 1.41253754e+02  9.94404048e-03 -1.17097644e-01  9.94404172e-03 -1.17097686e-01 
 1.42889396e+02  9.65307009e-03 -1.15383913e-01  9.65307133e-03 -1.15383955e-01 
 1.44543977e+02  9.37222641e-03 -1.13704625e-01  9.37222764e-03 -1.13704668e-01 
 1.46217717e+02  9.10107462e-03 -1.12058746e-01  9.10107584e-03 -1.12058790e-01 
 1.47910839e+02  8.83920280e-03 -1.10445285e-01  8.83920401e-03 -1.10445329e-01 
 1.49623566e+02  8.58622050e-03 -1.08863289e-01  8.58622171e-03 -1.08863333e-01 
 1.51356125e+02  8.34175744e-03 -1.07311846e-01  8.34175864e-03 -1.07311891e-01 
 1.53108746e+02  8.10546221e-03 -1.05790080e-01  8.10546340e-03 -1.05790125e-01 
 1.54881662e+02  7.87700118e-03 -1.04297148e-01  7.87700236e-03 -1.04297193e-01 
 1.56675107e+02  7.65605738e-03 -1.02832242e-01  7.65605856e-03 -1.02832288e-01 
 1.58489319e+02  7.44232957e-03 -1.01394585e-01  7.44233074e-03 -1.01394631e-01 
 1.60324539e+02  7.23553125e-03 -9.99834289e-02  7.23553242e-03 -9.99834761e-02 
 1.62181010e+02  7.03538984e-03 -9.85980557e-02  7.03539100e-03 -9.85981034e-02 
 1.64058977e+02  6.84164586e-03 -9.72377732e-02  6.84164701e-03 -9.72378215e-02 
 1.65958691e+02  6.65405217e-03 -9.59019157e-02  6.65405332e-03 -9.59019644e-02 
 1.67880402e+02  6.47237329e-03 -9.45898418e-02  6.47237443e-03 -9.45898911e-02 
 1.69824365e+02  6.29638474e-03 -9.33009338e-02  6.29638587e-03 -9.33009836e-02 
 1.71790839e+02  6.12587240e-03 -9.20345965e-02  6.12587353e-03 -9.20346469e-02 
 1.73780083e+02  5.96063199e-03 -9.07902560e-02  5.96063311e-03 -9.07903069e-02 
 1.75792361e+02  5.80046848e-03 -8.95673588e-02  5.80046960e-03 -8.95674103e-02 
 1.77827941e+02  5.64519562e-03 -8.83653711e-02  5.64519673e-03 -8.83654232e-02 
 1.79887092e+02  5.49463546e-03 -8.71837777e-02  5.49463657e-03 -8.71838303e-02 
 1.81970086e+02  5.34861791e-03 -8.60220812e-02  5.34861901e-03 -8.60221344e-02 
 1.84077200e+02  5.20698032e-03 -8.48798012e-02  5.20698142e-03 -8.48798550e-02 
 1.86208714e+02  5.06956709e-03 -8.37564740e-02  5.06956819e-03 -8.37565283e-02 
 1.88364909e+02  4.93622933e-03 -8.26516510e-02  4.93623042e-03 -8.26517059e-02 
 1.90546072e+02  4.80682448e-03 -8.15648990e-02  4.80682556e-03 -8.15649545e-02 
 1.92752491e+02  4.68121600e-03 -8.04957989e-02  4.68121708e-03 -8.04958550e-02 
 1.94984460e+02  4.55927308e-03 -7.94439454e-02  4.55927415e-03 -7.94440022e-02 
 1.97242274e+02  4.44087033e-03 -7.84089464e-02  4.44087141e-03 -7.84090039e-02 
 1.99526231e+02  4.32588755e-03 -7.73904224e-02  4.32588862e-03 -7.73904805e-02 
 2.01836636e+02  4.21420943e-03 -7.63880060e-02  4.21421049e-03 -7.63880647e-02 
 2.04173794e+02  4.10572531e-03 -7.54013413e-02  4.10572637e-03 -7.54014007e-02 
 2.06538016e+02  4.00032903e-03 -7.44300837e-02  4.00033008e-03 -7.44301438e-02 
 2.08929613e+02  3.89791860e-03 -7.34738993e-02  3.89791965e-03 -7.34739600e-02 
 2.11348904e+02  3.79839610e-03 -7.25324642e-02  3.79839715e-03 -7.25325256e-02 
 2.13796209e+02  3.70166744e-03 -7.16054647e-02  3.70166848e-03 -7.16055268e-02 
 2.16271852e+02  3.60764218e-03 -7.06925965e-02  3.60764322e-03 -7.06926592e-02 
 2.18776162e+02  3.51623338e-03 -6.97935642e-02  3.51623442e-03 -6.97936276e-02 
 2.21309471e+02  3.42735743e-03 -6.89080814e-02  3.42735846e-03 -6.89081455e-02 
 2.23872114e+02  3.34093389e-03 -6.80358699e-02  3.34093492e-03 -6.80359348e-02 
 2.26464431e+02  3.25688536e-03 -6.71766599e-02  3.25688639e-03 -6.71767256e-02 
 2.29086765e+02  3.17513734e-03 -6.63301892e-02  3.17513837e-03 -6.63302556e-02 
 2.31739465e+02  3.09561809e-03 -6.54962031e-02  3.09561911e-03 -6.54962702e-02 
 2.34422882e+02  3.01825851e-03 -6.46744541e-02  3.01825953e-03 -6.46745219e-02 
 2.37137371e+02  2.94299204e-03 -6.38647018e-02  2.94299306e-03 -6.38647704e-02 
 2.39883292e+02  2.86975455e-03 -6.30667123e-02  2.86975556e-03 -6.30667817e-02 
 2.42661010e+02  2.79848418e-03 -6.22802585e-02  2.79848519e-03 -6.22803287e-02 
 2.45470892e+02  2.72912134e-03 -6.15051191e-02  2.72912235e-03 -6.15051901e-02 
 2.48313311e+02  2.66160853e-03 -6.07410791e-02  2.66160953e-03 -6.07411509e-02 
 2.51188643e+02  2.59589028e-03 -5.99879292e-02  2.59589127e-03 -5.99880018e-02 
 2.54097271e+02  2.53191307e-03 -5.92454656e-02  2.53191407e-03 -5.92455390e-02 
 2.57039578e+02  2.46962526e-03 -5.85134901e-02  2.46962625e-03 -5.85135643e-02 
 2.60015956e+02  2.40897696e-03 -5.77918094e-02  2.40897795e-03 -5.77918845e-02 
 2.63026799e+02  2.34992004e-03 -5.70802356e-02  2.34992103e-03 -5.70803115e-02 
 2.66072506e+02  2.29240799e-03 -5.63785852e-02  2.29240897e-03 -5.63786620e-02 
 2.69153480e+02  2.23639587e-03 -5.56866798e-02  2.23639685e-03 -5.56867575e-02 
 2.72270131e+02  2.18184027e-03 -5.50043453e-02  2.18184125e-03 -5.50044238e-02 
