 frequency       v(/u_vc)        v(/u_vc)        v(/u_d)         v(/u_d)        
 6.68343918e+01  1.73364083e-01 -4.58793141e-01  1.73498109e-01 -4.59547041e-01 
 6.76082975e+01  1.60612175e-01 -4.43900581e-01  1.60739168e-01 -4.44655979e-01 
 6.83911647e+01  1.49129911e-01 -4.29726326e-01  1.49250491e-01 -4.30483481e-01 
 6.91830971e+01  1.38761348e-01 -4.16240755e-01  1.38876065e-01 -4.16999934e-01 
 6.99841996e+01  1.29372632e-01 -4.03411416e-01  1.29481975e-01 -4.04172882e-01 
 7.07945784e+01  1.20848569e-01 -3.91204603e-01  1.20952972e-01 -3.91968620e-01 
 7.16143410e+01  1.13089747e-01 -3.79586450e-01  1.13189599e-01 -3.80353277e-01 
 7.24435960e+01  1.06010132e-01 -3.68523660e-01  1.06105781e-01 -3.69293551e-01 
 7.32824533e+01  9.95350538e-02 -3.57983991e-01  9.96268122e-02 -3.58757195e-01 
 7.41310241e+01  9.35995197e-02 -3.47936553e-01  9.36876683e-02 -3.48713314e-01 
 7.49894209e+01  8.81467978e-02 -3.38351984e-01  8.82315899e-02 -3.39132538e-01 
 7.58577575e+01  8.31272284e-02 -3.29202533e-01  8.32088930e-02 -3.29987113e-01 
 7.67361489e+01  7.84972227e-02 -3.20462084e-01  7.85759670e-02 -3.21250914e-01 
 7.76247117e+01  7.42184166e-02 -3.12106137e-01  7.42944290e-02 -3.12899438e-01 
 7.85235635e+01  7.02569562e-02 -3.04111759e-01  7.03304076e-02 -3.04909744e-01 
 7.94328235e+01  6.65828900e-02 -2.96457521e-01  6.66539364e-02 -2.97260399e-01 
 8.03526122e+01  6.31696534e-02 -2.89123421e-01  6.32384372e-02 -2.89931397e-01 
 8.12830516e+01  5.99936285e-02 -2.82090805e-01  6.00602798e-02 -2.82904078e-01 
 8.22242650e+01  5.70337674e-02 -2.75342282e-01  5.70984054e-02 -2.76161048e-01 
 8.31763771e+01  5.42712702e-02 -2.68861643e-01  5.43340043e-02 -2.69686092e-01 
 8.41395142e+01  5.16893075e-02 -2.62633780e-01  5.17502380e-02 -2.63464100e-01 
 8.51138038e+01  4.92727815e-02 -2.56644609e-01  4.93320009e-02 -2.57480985e-01 
 8.60993752e+01  4.70081198e-02 -2.50880999e-01  4.70657132e-02 -2.51723612e-01 
 8.70963590e+01  4.48830966e-02 -2.45330699e-01  4.49391427e-02 -2.46179727e-01 
 8.81048873e+01  4.28866781e-02 -2.39982278e-01  4.29412492e-02 -2.40837896e-01 
 8.91250938e+01  4.10088868e-02 -2.34825061e-01  4.10620499e-02 -2.35687443e-01 
 9.01571138e+01  3.92406843e-02 -2.29849075e-01  3.92925015e-02 -2.30718391e-01 
 9.12010839e+01  3.75738684e-02 -2.25044997e-01  3.76243970e-02 -2.25921416e-01 
 9.22571427e+01  3.60009829e-02 -2.20404104e-01  3.60502762e-02 -2.21287794e-01 
 9.33254301e+01  3.45152384e-02 -2.15918234e-01  3.45633458e-02 -2.16809360e-01 
 9.44060876e+01  3.31104430e-02 -2.11579737e-01  3.31574102e-02 -2.12478464e-01 
 9.54992586e+01  3.17809404e-02 -2.07381446e-01  3.18268100e-02 -2.08287936e-01 
 9.66050879e+01  3.05215562e-02 -2.03316635e-01  3.05663678e-02 -2.04231051e-01 
 9.77237221e+01  2.93275497e-02 -1.99378990e-01  2.93713400e-02 -2.00301493e-01 
 9.88553095e+01  2.81945714e-02 -1.95562581e-01  2.82373744e-02 -1.96493331e-01 
 1.00000000e+02  2.71186251e-02 -1.91861833e-01  2.71604727e-02 -1.92800990e-01 
 1.01157945e+02  2.60960344e-02 -1.88271500e-01  2.61369560e-02 -1.89219223e-01 
 1.02329299e+02  2.51234125e-02 -1.84786643e-01  2.51634355e-02 -1.85743092e-01 
 1.03514217e+02  2.41976356e-02 -1.81402611e-01  2.42367856e-02 -1.82367943e-01 
 1.04712855e+02  2.33158190e-02 -1.78115018e-01  2.33541197e-02 -1.79089392e-01 
 1.05925373e+02  2.24752954e-02 -1.74919724e-01  2.25127688e-02 -1.75903299e-01 
 1.07151931e+02  2.16735958e-02 -1.71812824e-01  2.17102622e-02 -1.72805758e-01 
 1.08392691e+02  2.09084319e-02 -1.68790627e-01  2.09443103e-02 -1.69793079e-01 
 1.09647820e+02  2.01776809e-02 -1.65849643e-01  2.02127888e-02 -1.66861772e-01 
 1.10917482e+02  1.94793712e-02 -1.62986572e-01  1.95137249e-02 -1.64008537e-01 
 1.12201845e+02  1.88116699e-02 -1.60198289e-01  1.88452843e-02 -1.61230250e-01 
 1.13501082e+02  1.81728711e-02 -1.57481836e-01  1.82057599e-02 -1.58523953e-01 
 1.14815362e+02  1.75613854e-02 -1.54834406e-01  1.75935614e-02 -1.55886840e-01 
 1.16144861e+02  1.69757309e-02 -1.52253340e-01  1.70072058e-02 -1.53316252e-01 
 1.17489755e+02  1.64145246e-02 -1.49736114e-01  1.64453088e-02 -1.50809666e-01 
 1.18850223e+02  1.58764742e-02 -1.47280329e-01  1.59065775e-02 -1.48364685e-01 
 1.20226443e+02  1.53603714e-02 -1.44883709e-01  1.53898026e-02 -1.45979032e-01 
 1.21618600e+02  1.48650855e-02 -1.42544089e-01  1.48938524e-02 -1.43650544e-01 
 1.23026877e+02  1.43895571e-02 -1.40259408e-01  1.44176669e-02 -1.41377161e-01 
 1.24451461e+02  1.39327935e-02 -1.38027707e-01  1.39602524e-02 -1.39156925e-01 
 1.25892541e+02  1.34938630e-02 -1.35847119e-01  1.35206766e-02 -1.36987970e-01 
 1.27350308e+02  1.30718909e-02 -1.33715867e-01  1.30980639e-02 -1.34868519e-01 
 1.28824955e+02  1.26660552e-02 -1.31632253e-01  1.26915917e-02 -1.32796877e-01 
 1.30316678e+02  1.22755830e-02 -1.29594662e-01  1.23004863e-02 -1.30771430e-01 
 1.31825674e+02  1.18997467e-02 -1.27601551e-01  1.19240197e-02 -1.28790635e-01 
 1.33352143e+02  1.15378613e-02 -1.25651445e-01  1.15615061e-02 -1.26853021e-01 
 1.34896288e+02  1.11892811e-02 -1.23742938e-01  1.12122991e-02 -1.24957181e-01 
 1.36458314e+02  1.08533972e-02 -1.21874685e-01  1.08757894e-02 -1.23101772e-01 
 1.38038426e+02  1.05296349e-02 -1.20045399e-01  1.05514016e-02 -1.21285509e-01 
 1.39636836e+02  1.02174516e-02 -1.18253851e-01  1.02385925e-02 -1.19507164e-01 
 1.41253754e+02  9.91633433e-03 -1.16498862e-01  9.93684864e-03 -1.17765561e-01 
 1.42889396e+02  9.62579830e-03 -1.14779305e-01  9.64568465e-03 -1.16059574e-01 
 1.44543977e+02  9.34538466e-03 -1.13094100e-01  9.36464116e-03 -1.14388124e-01 
 1.46217717e+02  9.07465905e-03 -1.11442212e-01  9.09328328e-03 -1.12750179e-01 
 1.47910839e+02  8.81320998e-03 -1.09822647e-01  8.83119901e-03 -1.11144747e-01 
 1.49623566e+02  8.56064745e-03 -1.08234455e-01  8.57799784e-03 -1.09570878e-01 
 1.51356125e+02  8.31660157e-03 -1.06676722e-01  8.33330936e-03 -1.08027661e-01 
 1.53108746e+02  8.08072133e-03 -1.05148569e-01  8.09678208e-03 -1.06514220e-01 
 1.54881662e+02  7.85267349e-03 -1.03649156e-01  7.86808227e-03 -1.05029716e-01 
 1.56675107e+02  7.63214147e-03 -1.02177671e-01  7.64689286e-03 -1.03573340e-01 
 1.58489319e+02  7.41882439e-03 -1.00733338e-01  7.43291248e-03 -1.02144317e-01 
 1.60324539e+02  7.21243612e-03 -9.93154086e-02  7.22585451e-03 -1.00741901e-01 
 1.62181010e+02  7.01270443e-03 -9.79231621e-02  7.02544624e-03 -9.93653738e-02 
 1.64058977e+02  6.81937017e-03 -9.65559064e-02  6.83142806e-03 -9.80140461e-02 
 1.65958691e+02  6.63218657e-03 -9.52129746e-02  6.64355269e-03 -9.66872530e-02 
 1.67880402e+02  6.45091848e-03 -9.38937245e-02  6.46158451e-03 -9.53843548e-02 
 1.69824365e+02  6.27534172e-03 -9.25975375e-02  6.28529887e-03 -9.41047353e-02 
 1.71790839e+02  6.10524254e-03 -9.13238171e-02  6.11448151e-03 -9.28478005e-02 
 1.73780083e+02  5.94041695e-03 -9.00719886e-02  5.94892798e-03 -9.16129783e-02 
 1.75792361e+02  5.78067025e-03 -8.88414974e-02  5.78844308e-03 -9.03997167e-02 
 1.77827941e+02  5.62581651e-03 -8.76318085e-02  5.63284037e-03 -8.92074834e-02 
 1.79887092e+02  5.47567809e-03 -8.64424056e-02  5.48194174e-03 -8.80357649e-02 
 1.81970086e+02  5.33008520e-03 -8.52727901e-02  5.33557689e-03 -8.68840653e-02 
 1.84077200e+02  5.18887552e-03 -8.41224806e-02  5.19358299e-03 -8.57519062e-02 
 1.86208714e+02  5.05189376e-03 -8.29910119e-02  5.05580423e-03 -8.46388252e-02 
 1.88364909e+02  4.91899132e-03 -8.18779343e-02  4.92209150e-03 -8.35443756e-02 
 1.90546072e+02  4.79002595e-03 -8.07828133e-02  4.79230203e-03 -8.24681260e-02 
 1.92752491e+02  4.66486144e-03 -7.97052285e-02  4.66629907e-03 -8.14096590e-02 
 1.94984460e+02  4.54336728e-03 -7.86447733e-02  4.54395156e-03 -8.03685712e-02 
 1.97242274e+02  4.42541840e-03 -7.76010541e-02  4.42513389e-03 -7.93444723e-02 
